,recording_msid,track_metadata.mbid_mapping.recording_mbid,artists,full_artists,full_track_name
63,442aa748-27ef-4015-92cd-18dffba6fa69,2dc21e63-6535-43a1-bc63-cbb22be1fdc3,Treaty Oak Revival,Treaty Oak Revival,Have a Nice Day - Treaty Oak Revival
64,ae7d02a7-a738-4ebb-9f9d-a4864c1d45ff,313783e6-b789-447e-8d5f-1b387a91ec6a,Treaty Oak Revival,Treaty Oak Revival,Port A - Treaty Oak Revival
65,4f805edc-43d1-4882-9863-d7ac592da9be,5187ba58-113d-444b-ae80-b3f9ca581917,We Came as Romans,We Came as Romans  feat.  Caleb Shomo ,Black Hole - We Came as Romans  feat.  Caleb Shomo 
65,4f805edc-43d1-4882-9863-d7ac592da9be,5187ba58-113d-444b-ae80-b3f9ca581917,Caleb Shomo,We Came as Romans  feat.  Caleb Shomo ,Black Hole - We Came as Romans  feat.  Caleb Shomo 
66,d6176cb8-29fb-4e81-a9ac-e8194dd08642,8f5c75b7-6b02-4709-9546-3480e6632621,Motionless in White,Motionless in White,Afraid of the Dark - Motionless in White
67,1e27b66a-35f7-4cf7-82be-60ca4373dfca,c863c606-405d-488e-b06b-2a4e954c7239,PINKNOISE,PINKNOISE  &  Wind Walkers ,RAIN - PINKNOISE  &  Wind Walkers 
67,1e27b66a-35f7-4cf7-82be-60ca4373dfca,c863c606-405d-488e-b06b-2a4e954c7239,Wind Walkers,PINKNOISE  &  Wind Walkers ,RAIN - PINKNOISE  &  Wind Walkers 
68,eb4a6db9-1c82-4933-978d-3f161013addc,46db934b-84f4-45ee-b481-c8b6106a8b31,Bilmuri,Bilmuri,BLINDSIDED - Bilmuri
69,1701a560-a04f-4d99-af5d-dc2ba4f64d3f,af073b6b-ac37-4afd-806c-9d1ee9ee1753,Normandie,Normandie,Babylon - Normandie
70,4d981c1d-8650-4a26-9afb-07b29dfde681,2dd93701-b790-4134-8c31-5eeee950ee4a,Dayseeker,Dayseeker,Burial Plot - Dayseeker
71,dad41f26-f280-4b5b-89c0-4acbd969271e,5aaad0f7-ed90-412b-aab8-361c3467b772,SAVE US,SAVE US,Zero - SAVE US
72,789f76e1-7ed3-4a70-88ef-17b897831748,c6eb8877-3310-4737-9b26-5ea4b2e7769d,Archers,Archers,Made For Love - Archers
73,9fd78aab-e380-4b05-a3e0-27b367af899b,1d9d9731-f3ec-488c-a4f2-6d27c60bf93f,sace6,sace6,allured - sace6
74,776b8193-5007-4b80-8655-11dd556b5f06,2a0f8ab1-c66c-4499-86bb-f5a9d4f36a21,Varials,Varials,The Hurt Chamber - Varials
75,273ae367-9b1e-447f-be82-800e33995aad,f27b1185-5016-4951-8963-076379bef97c,Post Malone,Post Malone,Hollywood’s Bleeding - Post Malone
76,fe05fb74-9523-4570-a6d9-157d62422f34,933ae3a5-2a69-48d7-a586-8388a24f37f9,Of Mice & Men,Of Mice & Men,Troubled Water - Of Mice & Men
77,3f446844-a2e6-4720-87c5-4c93737d659d,c9e94634-4c89-477c-82a1-3ff6839c509f,Get Scared,Get Scared,Suffer - Get Scared
78,68640338-9af2-466d-a100-76b555983f61,f2aea3a7-07b5-4ebb-b035-a08d29d1542d,The Neighbourhood,The Neighbourhood,Cry Baby - The Neighbourhood
79,7229e595-516c-466b-9d7a-4f5cf529a237,14f77fb1-70c1-4b9c-952e-6c23f38d9d16,Gorillaz,Gorillaz,Baby Queen - Gorillaz
80,09b833fd-52c8-46b5-97d0-e99224b07cfc,5de222e8-71fe-42af-9abd-95a6ab228d13,6LACK,6LACK,Switch - 6LACK
81,2962973a-8a5a-4803-923c-86523d67c523,b3323026-2dc1-4c02-b447-1b7118a97e90,Daniel Caesar,Daniel Caesar  feat.  Kali Uchis ,Get You - Daniel Caesar  feat.  Kali Uchis 
81,2962973a-8a5a-4803-923c-86523d67c523,b3323026-2dc1-4c02-b447-1b7118a97e90,Kali Uchis,Daniel Caesar  feat.  Kali Uchis ,Get You - Daniel Caesar  feat.  Kali Uchis 
82,3473ea5c-898c-4d31-8091-b51d40bb7fd3,21ab628f-df09-40bf-a8c2-c9b96d80b568,The Neighbourhood,The Neighbourhood,Void - The Neighbourhood
83,f91dda7a-e974-489f-b335-5065d5d63452,af18b971-14d8-47c6-ba8f-714672dc8c15,The Neighbourhood,The Neighbourhood,Scary Love - The Neighbourhood
84,0791e4ed-f6c0-4406-b514-78ee153ae52d,389e5cec-5202-4c54-8690-859525851ec7,Treaty Oak Revival,Treaty Oak Revival  feat.  William Clark Green ,West Texas Degenerate - Treaty Oak Revival  feat.  William Clark Green 
84,0791e4ed-f6c0-4406-b514-78ee153ae52d,389e5cec-5202-4c54-8690-859525851ec7,William Clark Green,Treaty Oak Revival  feat.  William Clark Green ,West Texas Degenerate - Treaty Oak Revival  feat.  William Clark Green 
85,64337ceb-e446-40a1-82f9-6c1e5e669442,547d6b69-0884-450a-bee4-bc9278319f09,Sleeping With Sirens,Sleeping With Sirens,An Ending in Itself - Sleeping With Sirens
86,3f72f40e-3cf0-4abb-b8c2-2a88123d4ba0,d98e4baf-bfed-4de5-8198-165be2f08a6d,Motionless in White,Motionless in White,Voices - Motionless in White
87,f6e3d0ac-9cb5-4265-967a-300c20ad823f,a8048abf-9f6b-4c83-8ff4-b388ff22c028,Wyatt Flores,Wyatt Flores,Stillwater - Wyatt Flores
88,f0732cf8-253f-455a-a45c-cafd6f4b63ed,,,,When She Leaves - Siaynoq
89,21e35429-9543-4f94-a9b1-5925f64b3eba,,,,Sunflower - Post Malone feat. Swae Lee
90,3d539d30-5db8-4e93-90e7-8126c1b96e60,,,,MARTYR - Ekoh feat. Dayseeker
