,recording_mbid,genres
32,09766ac5-16fc-40ee-a56a-079b37c28d38,alternative rock
32,09766ac5-16fc-40ee-a56a-079b37c28d38,rap rock
32,09766ac5-16fc-40ee-a56a-079b37c28d38,alternative metal
32,09766ac5-16fc-40ee-a56a-079b37c28d38,hardcore
32,09766ac5-16fc-40ee-a56a-079b37c28d38,metalcore
33,09a613f7-5f9d-414a-9c4a-5c318dfe6b9a,english
33,09a613f7-5f9d-414a-9c4a-5c318dfe6b9a,trap
33,09a613f7-5f9d-414a-9c4a-5c318dfe6b9a,trap rap
33,09a613f7-5f9d-414a-9c4a-5c318dfe6b9a,hip hop
33,09a613f7-5f9d-414a-9c4a-5c318dfe6b9a,2010s
33,09a613f7-5f9d-414a-9c4a-5c318dfe6b9a,2020s
33,09a613f7-5f9d-414a-9c4a-5c318dfe6b9a,southern hip hop
34,09f90074-62d9-4ba1-a076-be48a0fbd11a,pop rock
34,09f90074-62d9-4ba1-a076-be48a0fbd11a,post-hardcore
34,09f90074-62d9-4ba1-a076-be48a0fbd11a,synthpop
34,09f90074-62d9-4ba1-a076-be48a0fbd11a,electronic rock
34,09f90074-62d9-4ba1-a076-be48a0fbd11a,pop
34,09f90074-62d9-4ba1-a076-be48a0fbd11a,alternative rock
35,0a0a2c40-3119-425b-91fd-02f1aca41049,emo pop
35,0a0a2c40-3119-425b-91fd-02f1aca41049,post-hardcore
35,0a0a2c40-3119-425b-91fd-02f1aca41049,acoustic
35,0a0a2c40-3119-425b-91fd-02f1aca41049,metalcore
35,0a0a2c40-3119-425b-91fd-02f1aca41049,pop punk
35,0a0a2c40-3119-425b-91fd-02f1aca41049,alternative rock
36,0b3ce31b-9793-4150-bcea-850ee6c4b7fe,acoustic
36,0b3ce31b-9793-4150-bcea-850ee6c4b7fe,post-hardcore
36,0b3ce31b-9793-4150-bcea-850ee6c4b7fe,pop punk
36,0b3ce31b-9793-4150-bcea-850ee6c4b7fe,metalcore
36,0b3ce31b-9793-4150-bcea-850ee6c4b7fe,alternative rock
36,0b3ce31b-9793-4150-bcea-850ee6c4b7fe,emo pop
37,0b85e588-b374-4e04-b440-cace0cd14080,
38,0ba8063f-6d83-45c2-bd1b-3846d923e0c3,progressive metal
38,0ba8063f-6d83-45c2-bd1b-3846d923e0c3,progressive rock
38,0ba8063f-6d83-45c2-bd1b-3846d923e0c3,alternative r&b
38,0ba8063f-6d83-45c2-bd1b-3846d923e0c3,alternative pop
38,0ba8063f-6d83-45c2-bd1b-3846d923e0c3,art pop
38,0ba8063f-6d83-45c2-bd1b-3846d923e0c3,alternative metal
38,0ba8063f-6d83-45c2-bd1b-3846d923e0c3,djent
39,0c215bdc-65b7-417a-9cfa-d6a5933341bc,southern rock
39,0c215bdc-65b7-417a-9cfa-d6a5933341bc,post-hardcore
39,0c215bdc-65b7-417a-9cfa-d6a5933341bc,metalcore
39,0c215bdc-65b7-417a-9cfa-d6a5933341bc,southern metal
40,0c6e88d4-39a7-49f7-985e-2f5f55c335cc,electronicore
40,0c6e88d4-39a7-49f7-985e-2f5f55c335cc,alternative hardcore
41,0cdf875a-d474-4b47-89c2-f486c1eb1ffd,alternative rock
41,0cdf875a-d474-4b47-89c2-f486c1eb1ffd,post-hardcore
41,0cdf875a-d474-4b47-89c2-f486c1eb1ffd,post-screamo
41,0cdf875a-d474-4b47-89c2-f486c1eb1ffd,easycore
41,0cdf875a-d474-4b47-89c2-f486c1eb1ffd,metalcore
41,0cdf875a-d474-4b47-89c2-f486c1eb1ffd,alternative metal
42,0dbac732-ac59-4483-a044-bdf6475237ec,alternative rock
42,0dbac732-ac59-4483-a044-bdf6475237ec,indie pop
42,0dbac732-ac59-4483-a044-bdf6475237ec,tumblr
43,0ddd3308-8def-4cab-9a83-b38893144f20,indie rock
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,emo
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,power pop
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,alternative rock
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,baroque pop
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,pop rock
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,pop punk
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,electropop
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,chamber pop
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,group turned solo project
44,0e8bf4fc-3a19-46ff-8023-7010c5125ef2,emo pop
45,0ee11164-dd40-4d62-b44e-f8966232629c,rap
45,0ee11164-dd40-4d62-b44e-f8966232629c,hip hop
46,0efceaa2-9a79-41ac-b29b-462bb189a255,tumblr
46,0efceaa2-9a79-41ac-b29b-462bb189a255,top 100
46,0efceaa2-9a79-41ac-b29b-462bb189a255,hip hop
46,0efceaa2-9a79-41ac-b29b-462bb189a255,top 10
46,0efceaa2-9a79-41ac-b29b-462bb189a255,nipsey hussle
46,0efceaa2-9a79-41ac-b29b-462bb189a255,death by murder
46,0efceaa2-9a79-41ac-b29b-462bb189a255,hustle
46,0efceaa2-9a79-41ac-b29b-462bb189a255,gangsta rap
46,0efceaa2-9a79-41ac-b29b-462bb189a255,top 5
46,0efceaa2-9a79-41ac-b29b-462bb189a255,alternative rock
46,0efceaa2-9a79-41ac-b29b-462bb189a255,god
46,0efceaa2-9a79-41ac-b29b-462bb189a255,rap
46,0efceaa2-9a79-41ac-b29b-462bb189a255,best rapper
46,0efceaa2-9a79-41ac-b29b-462bb189a255,west coast hip hop
46,0efceaa2-9a79-41ac-b29b-462bb189a255,rapper
46,0efceaa2-9a79-41ac-b29b-462bb189a255,independent artist
46,0efceaa2-9a79-41ac-b29b-462bb189a255,indie pop
47,0f4512a8-c856-4022-bb81-2c219ba572e0,
48,0f534924-a5a8-496b-ab9a-e9261d114581,life
48,0f534924-a5a8-496b-ab9a-e9261d114581,pop rap
48,0f534924-a5a8-496b-ab9a-e9261d114581,canadian
48,0f534924-a5a8-496b-ab9a-e9261d114581,jutes
48,0f534924-a5a8-496b-ab9a-e9261d114581,rap
48,0f534924-a5a8-496b-ab9a-e9261d114581,chode
48,0f534924-a5a8-496b-ab9a-e9261d114581,hip hop
49,0f787784-868a-45ac-a0cf-607fafd97e40,
50,0fd79d24-f1be-4de4-8d70-f013c5f357f1,hip hop
50,0fd79d24-f1be-4de4-8d70-f013c5f357f1,alternative r&b
50,0fd79d24-f1be-4de4-8d70-f013c5f357f1,trap
51,0ff7a467-ead8-49b9-9ee3-5c2889b94b12,alternative pop
51,0ff7a467-ead8-49b9-9ee3-5c2889b94b12,progressive metal
51,0ff7a467-ead8-49b9-9ee3-5c2889b94b12,alternative r&b
51,0ff7a467-ead8-49b9-9ee3-5c2889b94b12,djent
51,0ff7a467-ead8-49b9-9ee3-5c2889b94b12,progressive rock
51,0ff7a467-ead8-49b9-9ee3-5c2889b94b12,art pop
51,0ff7a467-ead8-49b9-9ee3-5c2889b94b12,alternative metal
52,104ae795-a8eb-437b-a474-10403b09aa9a,rap rock
52,104ae795-a8eb-437b-a474-10403b09aa9a,pop rock
52,104ae795-a8eb-437b-a474-10403b09aa9a,indie rock
52,104ae795-a8eb-437b-a474-10403b09aa9a,gen z
52,104ae795-a8eb-437b-a474-10403b09aa9a,2020s
52,104ae795-a8eb-437b-a474-10403b09aa9a,alternative rock
53,106533ae-cbcb-4e36-b652-11b2caa7bd9b,
54,106ced3b-8782-4bed-9f5a-06deb9ad9163,hip hop
54,106ced3b-8782-4bed-9f5a-06deb9ad9163,mumble rap
54,106ced3b-8782-4bed-9f5a-06deb9ad9163,southern hip hop
54,106ced3b-8782-4bed-9f5a-06deb9ad9163,pop rap
54,106ced3b-8782-4bed-9f5a-06deb9ad9163,trap
54,106ced3b-8782-4bed-9f5a-06deb9ad9163,gangsta rap
55,1090894d-0420-4771-a8c1-b7723556c2b1,alternative rock
55,1090894d-0420-4771-a8c1-b7723556c2b1,indie pop
55,1090894d-0420-4771-a8c1-b7723556c2b1,tumblr
56,1093cf79-ec35-4349-b5f4-500f12e6a10b,pop punk
56,1093cf79-ec35-4349-b5f4-500f12e6a10b,pop rock
56,1093cf79-ec35-4349-b5f4-500f12e6a10b,punk
57,109b989a-7fec-4f3b-a422-c14372d6728c,alternative rock
57,109b989a-7fec-4f3b-a422-c14372d6728c,deathcore
57,109b989a-7fec-4f3b-a422-c14372d6728c,melodic metalcore
57,109b989a-7fec-4f3b-a422-c14372d6728c,rock
57,109b989a-7fec-4f3b-a422-c14372d6728c,psychedelic rock
57,109b989a-7fec-4f3b-a422-c14372d6728c,alternative/indie rock
57,109b989a-7fec-4f3b-a422-c14372d6728c,screamo
57,109b989a-7fec-4f3b-a422-c14372d6728c,drum and bass
57,109b989a-7fec-4f3b-a422-c14372d6728c,electronic rock
57,109b989a-7fec-4f3b-a422-c14372d6728c,emo
57,109b989a-7fec-4f3b-a422-c14372d6728c,hard rock
57,109b989a-7fec-4f3b-a422-c14372d6728c,electronic
57,109b989a-7fec-4f3b-a422-c14372d6728c,metalcore
57,109b989a-7fec-4f3b-a422-c14372d6728c,nu metal
57,109b989a-7fec-4f3b-a422-c14372d6728c,alternative metal
57,109b989a-7fec-4f3b-a422-c14372d6728c,pop rock
57,109b989a-7fec-4f3b-a422-c14372d6728c,house
57,109b989a-7fec-4f3b-a422-c14372d6728c,pop
57,109b989a-7fec-4f3b-a422-c14372d6728c,post-hardcore
58,11206f14-56ed-4f1d-8176-b1155935dc49,post-hardcore
58,11206f14-56ed-4f1d-8176-b1155935dc49,metalcore
58,11206f14-56ed-4f1d-8176-b1155935dc49,southern rock
58,11206f14-56ed-4f1d-8176-b1155935dc49,southern metal
59,115cb8ee-ca32-4f0c-8d33-6070cc828a8e,alternative rock
59,115cb8ee-ca32-4f0c-8d33-6070cc828a8e,indie rock
60,11693a5e-1fe5-46ad-a6ed-54330e6b1053,metal
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,singer
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,midwest hip hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,songwriter
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,hip hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,hip hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,trap
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,conscious hip hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,2008 universal fire victim
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,actor
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,hardcore hip hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,pop rap
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,southern hip hop
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,detroit
61,11a217c7-4fd5-43d7-89fb-ef4f416e101a,horrorcore
